"word","cluster","eigen"
"especial","17","0.109566541247403"
"operacionales","11","0.00683872415626596"
"versión","7","0.00887235172028675"
"derechos","9","0.00176239577613812"
"misión","20","0.0404345908866206"
"batallón","3","0.92271807472092"
"militar","10","0.301016507354565"
"civil","10","0.0281749892909765"
"justicia","10","0.0708536267262455"
"profesional","14","0.199529029028254"
"operacional","11","0.147571907930375"
"especiales","9","0.058553203395572"
"profesionales","21","0.00259798633319395"
"brigada","3","0.554913458197886"
"control","11","0.115936158291215"
"fuerza","1","0.000178596782885917"
"programas","5","0.0179179939425441"
"ejército","14","0.119104869403415"
"coronel","4","1"
"rita","24","5.32977778622377e-05"
"escuela","15","0.0587982492734431"
"armado","17","0.0127860528164492"
"misiones","9","0.0059475026336218"
"fuerzas","9","0.0152107844204165"
"orden","15","0.0397162867930254"
"regulares","21","0.00255191049249655"
"judicial","7","0.0408446770885621"
"ejecuciones","19","0.000499223216428428"
"escalante","4","0.0673149338368028"
"acto","17","0.000998024915968422"
"armados","19","0.00317055552852626"
"capera","8","0.169122143831514"
"carrera","14","0.0666594607229866"
"tácticas","9","0.04465976567461"
"carlos","4","0.160287936140072"
"ilegítimamente","19","0.00387849679090957"
"falsos","26","0.000193921222464589"
"comandante","3","0.734495482913713"
"comando","14","0.184788885473125"
"derecho","9","0.0220476987671745"
"casanare","10","0.0509170446335178"
"conocimiento","15","0.0301426498589321"
"táctica","20","0.118304360215271"
"ilegítimas","19","0.00679458680622677"
"humanitario","9","0.00156574493769204"
"salí","16","0.000227988105436243"
"magistrados","2","0.0115900419496465"
"nacional","14","0.129903294683198"
"jurídicas","9","0.00105720325219467"
"consejo","15","0.0190486228910919"
"campesinos","21","0.00255191049249655"
"militares","9","0.0494526458025109"
"legítimamente","19","0.000196315673892728"
"infantería","14","0.10299899597483"
"integral","1","0.0011435795163447"
"programa","5","0.0179238370873459"
"exactamente","12","0.0666741462035344"
"general","13","0.975757650382068"
"b","21","0.0775646209055191"
"suárez","4","0.240761873745273"
"armas","15","0.00723577230118055"
"audiencia","1","3.34658055272761e-06"
"ambiente","11","0.0196526850915271"
"generales","2","0.000465591997636456"
"c","21","0.174246043447142"
"acosta","4","0.142390190399182"
"cabo","4","0.303404822292136"
"disciplinaria","10","0.00121181914298833"
"capitán","6","0.392203370641168"
"forero","4","0.0894494297812724"
"regular","18","0.0759444882792072"
"amor","4","0.138071058571485"
"cuántas","12","0.0862113755435696"
"rodríguez","4","0.66482324228383"
"juan","4","0.0369195952394933"
"brasil","3","0.0503477932008862"
"aguilera","6","0.0835711860455839"
